Quality Metrics for "2021-07-23 13-40-47.mp4":

Detected frame errors:
Frame 3620 occurred 1 times.
Frame 3631 occurred 3 times.
Frame 3632 occurred 1 times.
Frame 3643 occurred 3 times.
Frame 3644 occurred 1 times.
Frame 3652 occurred 3 times.
Frame 3653 occurred 1 times.
Frame 3667 occurred 3 times.
Frame 3668 occurred 1 times.
Frame 3679 occurred 3 times.
Frame 3680 occurred 1 times.
Frame 3690 occurred 3 times.
Frame 3692 occurred 1 times.
Frame 3703 occurred 3 times.
Frame 3704 occurred 1 times.
Frame 3727 occurred 3 times.
Frame 3728 occurred 1 times.
Frame 3732 occurred 3 times.
Frame 3734 occurred 1 times.
Frame 3736 occurred 3 times.
Frame 3737 occurred 1 times.
Frame 3739 occurred 3 times.
Frame 3740 occurred 1 times.
Frame 3787 occurred 3 times.
Frame 3788 occurred 1 times.
Frame 3823 occurred 3 times.
Frame 3824 occurred 1 times.
Frame 3835 occurred 3 times.
Frame 3836 occurred 1 times.
Frame 3847 occurred 3 times.
Frame 3848 occurred 1 times.
Frame 3859 occurred 3 times.
Frame 3860 occurred 1 times.
Frame 3871 occurred 3 times.
Frame 3872 occurred 1 times.
Frame 3882 occurred 3 times.
Frame 3884 occurred 1 times.
Frame 3907 occurred 3 times.
Frame 3908 occurred 1 times.
Frame 3919 occurred 3 times.
Frame 3920 occurred 1 times.
Frame 3943 occurred 3 times.
Frame 3944 occurred 1 times.
Frame 3955 occurred 3 times.
Frame 3956 occurred 1 times.
Frame 3967 occurred 3 times.
Frame 3968 occurred 1 times.
Frame 3979 occurred 3 times.
Frame 3980 occurred 1 times.
Frame 3991 occurred 3 times.
Frame 3992 occurred 1 times.
Frame 4002 occurred 3 times.
Frame 4004 occurred 1 times.
Frame 4015 occurred 3 times.
Frame 4016 occurred 1 times.
Frame 4027 occurred 3 times.
Frame 4028 occurred 1 times.
Frame 4032 occurred 3 times.
Frame 4033 occurred 1 times.
Frame 4039 occurred 3 times.
Frame 4040 occurred 1 times.
Frame 4051 occurred 3 times.
Frame 4052 occurred 1 times.
Frame 4063 occurred 3 times.
Frame 4064 occurred 1 times.
Frame 4123 occurred 3 times.
Frame 4124 occurred 1 times.
Frame 4135 occurred 3 times.
Frame 4136 occurred 1 times.
Frame 4149 occurred 3 times.
Frame 4150 occurred 1 times.
Frame 4173 occurred 3 times.
Frame 4174 occurred 1 times.
Frame 4182 occurred 3 times.
Frame 4183 occurred 1 times.
Frame 4207 occurred 3 times.
Frame 4208 occurred 1 times.
Frame 4219 occurred 3 times.
Frame 4220 occurred 1 times.
Frame 4231 occurred 3 times.
Frame 4232 occurred 1 times.
Frame 4233 occurred 3 times.
Frame 4234 occurred 1 times.
Frame 4243 occurred 3 times.
Frame 4244 occurred 1 times.
Frame 4255 occurred 3 times.
Frame 4256 occurred 1 times.
Frame 4258 occurred 3 times.
Frame 4259 occurred 1 times.
Frame 4261 occurred 3 times.
Frame 4262 occurred 1 times.
Frame 4267 occurred 3 times.
Frame 4268 occurred 1 times.
Frame 4279 occurred 3 times.
Frame 4280 occurred 1 times.
Frame 4291 occurred 3 times.
Frame 4292 occurred 1 times.
Frame 4327 occurred 3 times.
Frame 4328 occurred 1 times.
Frame 4339 occurred 3 times.
Frame 4340 occurred 1 times.
Frame 4351 occurred 3 times.
Frame 4352 occurred 1 times.
Frame 4363 occurred 3 times.
Frame 4364 occurred 1 times.
Frame 4375 occurred 3 times.
Frame 4376 occurred 1 times.
Frame 4382 occurred 3 times.
Frame 4383 occurred 1 times.
Frame 4447 occurred 3 times.
Frame 4448 occurred 1 times.
Frame 4452 occurred 3 times.
Frame 4453 occurred 1 times.
Frame 4459 occurred 3 times.
Frame 4460 occurred 1 times.
Frame 4471 occurred 3 times.
Frame 4472 occurred 1 times.
Frame 4477 occurred 3 times.
Frame 4478 occurred 1 times.
Frame 4483 occurred 3 times.
Frame 4484 occurred 1 times.
Frame 4495 occurred 3 times.
Frame 4496 occurred 1 times.
Frame 4517 occurred 3 times.
Frame 4518 occurred 1 times.
Frame 4543 occurred 3 times.
Frame 4544 occurred 1 times.
Frame 4555 occurred 3 times.
Frame 4556 occurred 1 times.
Frame 4567 occurred 3 times.
Frame 4568 occurred 1 times.
Frame 4579 occurred 3 times.
Frame 4580 occurred 1 times.
Frame 4591 occurred 3 times.
Frame 4592 occurred 1 times.
Frame 4627 occurred 3 times.
Frame 4628 occurred 1 times.
Frame 4639 occurred 3 times.
Frame 4640 occurred 1 times.
Frame 4651 occurred 3 times.
Frame 4652 occurred 1 times.
Frame 4675 occurred 3 times.
Frame 4676 occurred 1 times.
Frame 4683 occurred 3 times.
Frame 4684 occurred 1 times.
Frame 4687 occurred 3 times.
Frame 4688 occurred 1 times.
Frame 4699 occurred 3 times.
Frame 4700 occurred 1 times.
Frame 4711 occurred 3 times.
Frame 4712 occurred 1 times.
Frame 4747 occurred 3 times.
Frame 4748 occurred 1 times.
Frame 4759 occurred 3 times.
Frame 4760 occurred 1 times.
Frame 4762 occurred 3 times.
Frame 4763 occurred 1 times.
Frame 4771 occurred 3 times.
Frame 4772 occurred 1 times.
Frame 4783 occurred 3 times.
Frame 4784 occurred 1 times.
Frame 4786 occurred 3 times.
Frame 4787 occurred 1 times.
Frame 4795 occurred 3 times.
Frame 4796 occurred 1 times.
Frame 4807 occurred 3 times.
Frame 4808 occurred 1 times.
Frame 4819 occurred 3 times.
Frame 4820 occurred 1 times.
Frame 4822 occurred 3 times.
Frame 4823 occurred 1 times.
Frame 4825 occurred 3 times.
Frame 4826 occurred 1 times.
Frame 4828 occurred 3 times.
Frame 4829 occurred 1 times.
Frame 4842 occurred 3 times.
Frame 4844 occurred 1 times.
Frame 4855 occurred 3 times.
Frame 4856 occurred 1 times.
Frame 4867 occurred 3 times.
Frame 4868 occurred 1 times.
Frame 4873 occurred 3 times.
Frame 4874 occurred 1 times.
Frame 4927 occurred 3 times.
Frame 4928 occurred 1 times.
Frame 4939 occurred 3 times.
Frame 4940 occurred 1 times.
Frame 4951 occurred 3 times.
Frame 4952 occurred 1 times.
Frame 4975 occurred 3 times.
Frame 4976 occurred 1 times.
Frame 5000 occurred 6 times.

Amount of dropped frames: 24
Distances between dropped frames:
