Detected frames in file "D:/Captured Video\2021-09-22 13-09-45.mp4":
Frame 519 occurred 1 times.
Frame 520 occurred 1 times.
Frame 521 occurred 1 times.
Frame 522 occurred 1 times.
Frame 523 occurred 1 times.
Frame 524 occurred 1 times.
Frame 525 occurred 1 times.
Frame 526 occurred 1 times.
Frame 527 occurred 1 times.
Frame 528 occurred 1 times.
Frame 529 occurred 1 times.
Frame 530 occurred 1 times.
Frame 531 occurred 1 times.
Frame 532 occurred 1 times.
Frame 533 occurred 1 times.
Frame 534 occurred 1 times.
Frame 535 occurred 1 times.
Frame 536 occurred 1 times.
Frame 537 occurred 1 times.
Frame 538 occurred 1 times.
Frame 539 occurred 1 times.
Frame 540 occurred 1 times.
Frame 541 occurred 1 times.
Frame 542 occurred 1 times.
Frame 543 occurred 1 times.
Frame 544 occurred 1 times.
Frame 545 occurred 1 times.
Frame 546 occurred 1 times.
Frame 547 occurred 1 times.
Frame 548 occurred 1 times.
Frame 549 occurred 1 times.
Frame 550 occurred 1 times.
Frame 551 occurred 1 times.
Frame 552 occurred 1 times.
Frame 553 occurred 1 times.
Frame 554 occurred 1 times.
Frame 555 occurred 1 times.
Frame 556 occurred 1 times.
Frame 557 occurred 1 times.
Frame 558 occurred 1 times.
Frame 559 occurred 1 times.
Frame 560 occurred 1 times.
Frame 561 occurred 1 times.
Frame 562 occurred 1 times.
Frame 563 occurred 1 times.
Frame 564 occurred 1 times.
Frame 565 occurred 1 times.
Frame 566 occurred 1 times.
Frame 567 occurred 1 times.
Frame 568 occurred 1 times.
Frame 569 occurred 1 times.
Frame 570 occurred 1 times.
Frame 571 occurred 1 times.
Frame 572 occurred 1 times.
Frame 573 occurred 1 times.
Frame 574 occurred 1 times.
Frame 575 occurred 1 times.
Frame 576 occurred 1 times.
Frame 577 occurred 1 times.
Frame 578 occurred 1 times.
Frame 579 occurred 1 times.
Frame 580 occurred 1 times.
Frame 581 occurred 1 times.
Frame 582 occurred 1 times.
Frame 583 occurred 1 times.
Frame 584 occurred 1 times.
Frame 585 occurred 1 times.
Frame 586 occurred 1 times.
Frame 587 occurred 1 times.
Frame 588 occurred 1 times.
Frame 589 occurred 1 times.
Frame 590 occurred 1 times.
Frame 591 occurred 1 times.
Frame 592 occurred 1 times.
Frame 593 occurred 1 times.
Frame 594 occurred 1 times.
Frame 595 occurred 1 times.
Frame 596 occurred 1 times.
Frame 597 occurred 1 times.
Frame 598 occurred 1 times.
Frame 599 occurred 1 times.
Frame 600 occurred 1 times.
Frame 601 occurred 1 times.
Frame 602 occurred 1 times.
Frame 603 occurred 1 times.
